state,state_abbr,listings,avg_price,med_price,avg_ppsf,med_ppsf,avg_house_size,med_house_size,share_ready_to_build,unemp_volatility,unemp_mean,unemp_min,unemp_max,hpi_growth_2010_2023,hpi_yoy_mean,hpi_yoy_vol,median_income_mean,pop_mean,net_migration_mean,net_migration_vol
Ohio,OH,47775,246073.65737310308,185000.0,123.90164585383316,115.3076923076923,1945.3500994243852,1691.0,0.0271899529042386,2.1682245282235915,6.0,3.4,16.5,0.619989243275465,0.0458872204709033,0.0465794509456643,56710.0,11664004.07142857,0.4000000000000009,0.8246211251235342
Oklahoma,OK,29472,285469.6538070033,224992.5,139.52646862189022,130.7412215484781,1940.2809785559175,1724.0,0.0186617806731813,1.3364000944448786,4.461904761904762,2.9,12.5,0.585256349070149,0.0437777879824958,0.0427582659636162,52885.71428571428,3916101.9285714286,0.9111111111111148,3.1735013961098413
Oregon,OR,26615,599092.0539545369,500000.0,313.17294049160313,292.7400468384075,1942.067555889536,1728.0,0.0046214540672553,2.421595099469979,6.111309523809524,3.4,13.7,0.7518439530718846,0.0591100367952954,0.0603096953012983,65861.42857142857,4082699.285714286,-0.2444444444444447,0.7055336829505562
Pennsylvania,PA,61980,354995.4063730236,272990.0,173.73650133006075,159.17906069480102,2012.7734107776705,1728.0,0.0323814133591481,1.852816350547612,5.9523809523809526,3.5,16.1,0.5270562469754054,0.0390048870793242,0.0418281115807335,62404.28571428572,12842493.642857144,-0.62222222222222,0.5044248650140504
Rhode Island,RI,7711,481408.3113733627,369000.0,268.6817163764593,247.64663287472845,1999.0461678122165,1536.0,0.0,3.2431971309887073,6.760714285714285,2.6,17.9,0.6498840547628406,0.0480354141090741,0.0574840733246174,64598.57142857143,1068588.7142857143,-1.311111111111111,0.7149203529842415
South Carolina,SC,23279,453245.20248550194,325374.0,214.89749489993204,175.70093457943926,2041.9072125091284,1837.0,0.0278362472614803,2.769141266917393,5.817261904761905,2.4,11.7,0.7076856616043603,0.0526509743273413,0.0587109134804336,53080.71428571428,4982763.285714285,1.1555555555555546,0.7401201103724827
South Dakota,SD,2345,421389.91343283583,319950.0,200.8665231819078,175.29419795221844,2077.572707889126,1801.0,0.0,1.0262174851243877,3.2428571428571424,1.8,8.8,0.7266491687839105,0.0537874540565452,0.0448028044316706,59614.28571428572,866948.7142857143,1.4222222222222234,1.747696897189109
Tennessee,TN,20539,478024.7306587468,349000.0,217.6097571429942,185.7,2131.71537075807,1847.0,0.0069136764204683,2.441625293673813,5.738095238095238,3.1,15.7,0.8168035375330103,0.0613517180454939,0.0606922822250544,52345.71428571428,6709084.071428572,0.5777777777777765,0.3929942040850527
Texas,TX,165328,441578.1894931893,340000.0,195.05188860925233,170.939831315232,2193.6489402883963,1987.0,0.0326865382754282,1.7818732713886871,5.479166666666667,3.4,12.8,0.8236169331130396,0.0627602493214724,0.0505799514825397,60355.71428571428,27953609.64285714,0.5999999999999991,0.4795831523312698
Utah,UT,11228,853491.0415033844,589900.0,332.74787792406005,245.89561957682935,2714.60616316352,2400.0,0.0136266476665479,1.8274761921739633,4.0095238095238095,2.2,10.0,0.8945676559673323,0.0691135848397539,0.0689836824132716,73480.0,3087817.6428571427,0.8222222222222213,1.0365541203644115
Virginia,VA,55369,513872.4552728061,400000.0,233.6165244202452,205.2545155993432,2240.047029926493,1923.0,0.00928317289458,1.643401817074523,4.497023809523809,2.5,11.9,0.5336141722234373,0.039797814609897,0.0432426315585732,72931.42857142857,8423095.642857144,0.3555555555555558,0.6463573143221767
Vermont,VT,1646,555725.4726609964,369000.0,238.5860070094278,194.1902340597256,2337.559538274605,1992.0,0.0,1.619066672215503,3.742261904761905,1.7,14.1,0.5715612674965573,0.0426625257587139,0.054622056254705,65621.42857142857,631638.0714285715,4.155555555555558,1.7515072873892854
Washington,WA,53467,695005.0882413451,550000.0,358.58028181607665,312.5,1983.9450689210169,1792.0,0.0060785157199768,2.2914053691404535,6.1744047619047615,3.6,17.1,0.8235177397826527,0.0640505176961752,0.0638333263185886,72952.85714285714,7332235.571428572,0.4666666666666654,0.5744562646538015
Wisconsin,WI,20955,336064.970365068,270500.0,172.076809225392,152.353538774128,1974.7490813648296,1754.0,0.0004294917680744,2.084344180200112,4.899404761904762,2.6,14.1,0.6010329063843844,0.044136557360303,0.0477632660566409,61741.42857142857,5799065.785714285,0.5777777777777781,0.7310570733153754
West Virginia,WV,8119,252160.22047050128,200000.0,126.473326357195,115.97938144329896,2010.4179086094343,1754.0,0.00874491932504,1.6856761653971295,6.113095238095238,3.5,15.8,0.4484690142299978,0.0318452831527642,0.0354672573650639,47204.28571428572,1820800.0714285711,0.7555555555555569,1.1948965552623294
Wyoming,WY,1872,689622.5854700855,385000.0,277.49867596724374,172.5600426883898,2475.045405982906,2172.5,0.0,1.1290870063557104,4.703571428571429,2.8,8.7,0.5498182440543617,0.0416606440591207,0.0426722572850055,62865.0,579258.2142857143,0.3999999999999993,0.8717797887081332
