year,state,state_abbr,growth_rank,in_migration_pct,out_migration_pct,leading_cities,net_migration_pct
2018,Delaware,DE,11.0,50.8,49.2,None,1.5999999999999943
2018,Florida,FL,2.0,50.1,49.9,"#8 Fort Lauderdale, #10 Kissimmee, #17 Bradenton, #21 Port St. Lucie, #25 Davenport",0.20000000000000284
2018,Georgia,GA,35.0,49.9,50.1,#22 Smyrna,-0.20000000000000284
2018,Hawaii,HI,,,,Recent Migration Trends,
2018,Idaho,ID,5.0,50.9,49.1,#23 Boise,1.7999999999999972
2018,Illinois,IL,50.0,48.5,51.5,None,-3.0
2018,Indiana,IN,26.0,50.0,50.0,None,0.0
2018,Iowa,IA,41.0,49.4,50.6,None,-1.2000000000000028
2018,Kansas,KS,32.0,50.0,50.0,None,0.0
2018,Kentucky,KY,45.0,49.4,50.6,None,-1.2000000000000028
2018,Louisiana,LA,47.0,49.2,50.8,None,-1.5999999999999943
2018,Maine,ME,10.0,50.5,49.5,None,1.0
2018,Maryland,MD,6.0,50.4,49.6,#20 Takoma Park,0.7999999999999972
2018,Massachusetts,MA,46.0,49.5,50.5,None,-1.0
2018,Michigan,MI,49.0,49.2,50.8,None,-1.5999999999999943
2018,Minnesota,MN,37.0,49.8,50.2,None,-0.4000000000000057
2018,Mississippi,MS,30.0,50.0,50.0,None,0.0
2018,Missouri,MO,12.0,50.1,49.9,None,0.20000000000000284
2018,Montana,MT,34.0,49.9,50.1,None,-0.20000000000000284
2018,Nebraska,NE,18.0,50.1,49.9,None,0.20000000000000284
2018,Nevada,NV,25.0,50.0,50.0,None,0.0
2018,New Hampshire,NH,9.0,50.4,49.6,None,0.7999999999999972
2018,New Jersey,NJ,43.0,49.8,50.2,None,-0.4000000000000057
2018,New Mexico,NM,19.0,50.1,49.9,None,0.20000000000000284
2018,New York,NY,39.0,49.9,50.1,#3 Manhattan,-0.20000000000000284
2018,North Carolina,NC,24.0,50.1,49.9,None,0.20000000000000284
2018,North Dakota,ND,36.0,49.1,50.9,None,-1.7999999999999972
2018,Ohio,OH,15.0,50.1,49.9,None,0.20000000000000284
2018,Oklahoma,OK,40.0,49.7,50.3,None,-0.5999999999999943
2018,Oregon,OR,14.0,50.1,49.9,None,0.20000000000000284
2018,Pennsylvania,PA,44.0,49.8,50.2,"#4 Harrisburg, #12 Pittsburgh",-0.4000000000000057
