year,state,state_abbr,growth_rank,in_migration_pct,out_migration_pct,net_migration_pct
2018,Missouri,MO,12.0,50.1,49.9,0.2000000000000028
2019,Missouri,MO,13.0,50.2,49.8,0.4000000000000057
2020,Missouri,MO,7.0,50.7,49.3,1.4000000000000057
2021,Missouri,MO,39.0,49.8,50.2,-0.4000000000000057
2022,Missouri,MO,15.0,50.3,49.7,0.5999999999999943
2023,Missouri,MO,28.0,49.9,50.1,-0.2000000000000028
2015,Mississippi,MS,24.0,50.4,49.6,0.7999999999999972
2016,Mississippi,MS,29.0,49.9,50.1,-0.2000000000000028
2017,Mississippi,MS,23.0,50.2,49.8,0.4000000000000057
2018,Mississippi,MS,30.0,50.0,50.0,0.0
2019,Mississippi,MS,25.0,50.2,49.8,0.4000000000000057
2020,Mississippi,MS,21.0,50.2,49.8,0.4000000000000057
2021,Mississippi,MS,37.0,49.6,50.4,-0.7999999999999972
2022,Mississippi,MS,34.0,50.0,50.0,0.0
2023,Mississippi,MS,39.0,49.4,50.6,-1.2000000000000028
2015,Montana,MT,33.0,50.1,49.9,0.2000000000000028
2016,Montana,MT,27.0,50.0,50.0,0.0
2017,Montana,MT,25.0,50.2,49.8,0.4000000000000057
2018,Montana,MT,34.0,49.9,50.1,-0.2000000000000028
2019,Montana,MT,26.0,50.2,49.8,0.4000000000000057
2020,Montana,MT,19.0,51.2,48.8,2.4000000000000057
2021,Montana,MT,22.0,50.1,49.9,0.2000000000000028
2022,Montana,MT,18.0,50.2,49.8,0.4000000000000057
2023,Montana,MT,21.0,50.1,49.9,0.2000000000000028
2015,North Carolina,NC,1.0,51.0,49.0,2.0
2016,North Carolina,NC,44.0,49.7,50.3,-0.5999999999999943
2017,North Carolina,NC,7.0,50.2,49.8,0.4000000000000057
2018,North Carolina,NC,24.0,50.1,49.9,0.2000000000000028
2019,North Carolina,NC,3.0,50.3,49.7,0.5999999999999943
2020,North Carolina,NC,9.0,50.2,49.9,0.3000000000000042
2021,North Carolina,NC,19.0,50.1,49.9,0.2000000000000028
2022,North Carolina,NC,4.0,50.4,49.6,0.7999999999999972
2023,North Carolina,NC,3.0,51.0,49.0,2.0
2015,North Dakota,ND,44.0,48.8,51.2,-2.4000000000000057
2016,North Dakota,ND,32.0,49.5,50.5,-1.0
2017,North Dakota,ND,37.0,49.1,50.9,-1.7999999999999972
2018,North Dakota,ND,36.0,49.1,50.9,-1.7999999999999972
2019,North Dakota,ND,36.0,49.1,50.9,-1.7999999999999972
2020,North Dakota,ND,37.0,49.5,50.5,-1.0
2021,North Dakota,ND,33.0,48.8,51.2,-2.4000000000000057
2022,North Dakota,ND,32.0,49.0,51.0,-2.0
2023,North Dakota,ND,32.0,49.8,50.2,-0.4000000000000057
2015,Nebraska,NE,26.0,50.6,49.4,1.2000000000000028
2016,Nebraska,NE,23.0,50.1,49.9,0.2000000000000028
2017,Nebraska,NE,16.0,50.4,49.6,0.7999999999999972
2018,Nebraska,NE,18.0,50.1,49.9,0.2000000000000028
2019,Nebraska,NE,19.0,50.3,49.7,0.5999999999999943
2020,Nebraska,NE,32.0,50.0,50.0,0.0
2021,Nebraska,NE,20.0,50.1,49.9,0.2000000000000028
2022,Nebraska,NE,32.0,50.0,50.0,0.0
2023,Nebraska,NE,35.0,49.7,50.3,-0.5999999999999943
2015,New Hampshire,NH,47.0,48.1,51.9,-3.799999999999997
2016,New Hampshire,NH,14.0,50.6,49.4,1.2000000000000028
2017,New Hampshire,NH,31.0,49.9,50.1,-0.2000000000000028
2018,New Hampshire,NH,9.0,50.4,49.6,0.7999999999999972
2019,New Hampshire,NH,31.0,50.4,49.6,0.7999999999999972
2020,New Hampshire,NH,23.0,50.8,49.2,1.5999999999999943
2021,New Hampshire,NH,25.0,50.0,50.0,0.0
2022,New Hampshire,NH,38.0,49.6,50.4,-0.7999999999999972
2023,New Hampshire,NH,40.0,49.0,51.0,-2.0
2015,New Jersey,NJ,45.0,49.7,50.3,-0.5999999999999943
2016,New Jersey,NJ,41.0,49.7,50.3,-0.5999999999999943
2017,New Jersey,NJ,45.0,49.3,50.7,-1.4000000000000057
2018,New Jersey,NJ,43.0,49.8,50.2,-0.4000000000000057
2019,New Jersey,NJ,44.0,49.6,50.4,-0.7999999999999972
2020,New Jersey,NJ,48.0,49.2,50.8,-1.5999999999999943
2021,New Jersey,NJ,36.0,49.8,50.2,-0.4000000000000057
2022,New Jersey,NJ,45.0,49.6,50.4,-0.7999999999999972
2023,New Jersey,NJ,47.0,48.4,51.6,-3.200000000000003
2015,New Mexico,NM,14.0,51.1,48.9,2.200000000000003
2016,New Mexico,NM,33.0,49.7,50.3,-0.5999999999999943
2017,New Mexico,NM,19.0,50.3,49.7,0.5999999999999943
2018,New Mexico,NM,19.0,50.1,49.9,0.2000000000000028
2019,New Mexico,NM,36.0,49.7,50.3,-0.5999999999999943
2020,New Mexico,NM,39.0,49.7,50.3,-0.5999999999999943
2021,New Mexico,NM,10.0,50.5,49.5,1.0
2022,New Mexico,NM,19.0,50.3,49.7,0.5999999999999943
2023,New Mexico,NM,16.0,50.3,49.7,0.5999999999999943
2015,Nevada,NV,41.0,49.8,50.2,-0.4000000000000057
2016,Nevada,NV,43.0,49.4,50.6,-1.2000000000000028
2017,Nevada,NV,33.0,49.9,50.1,-0.2000000000000028
2018,Nevada,NV,25.0,50.0,50.0,0.0
2019,Nevada,NV,24.0,50.1,49.9,0.2000000000000028
2020,Nevada,NV,8.0,50.3,49.7,0.5999999999999943
2021,Nevada,NV,29.0,49.9,50.1,-0.2000000000000028
2022,Nevada,NV,13.0,50.2,49.8,0.4000000000000057
2023,Nevada,NV,11.0,50.3,49.7,0.5999999999999943
2015,New York,NY,7.0,50.4,49.6,0.7999999999999972
2016,New York,NY,35.0,49.9,50.1,-0.2000000000000028
2017,New York,NY,44.0,49.7,50.3,-0.5999999999999943
2018,New York,NY,39.0,49.9,50.1,-0.2000000000000028
2019,New York,NY,39.0,49.9,50.1,-0.2000000000000028
2020,New York,NY,42.0,49.9,50.1,-0.2000000000000028
2021,New York,NY,45.0,49.8,50.2,-0.4000000000000057
2022,New York,NY,43.0,49.7,50.3,-0.5999999999999943
2023,New York,NY,43.0,49.7,50.3,-0.5999999999999943
2015,Ohio,OH,3.0,51.2,48.8,2.4000000000000057
2016,Ohio,OH,40.0,49.8,50.2,-0.4000000000000057
2017,Ohio,OH,34.0,49.9,50.1,-0.2000000000000028
2018,Ohio,OH,15.0,50.1,49.9,0.2000000000000028
2019,Ohio,OH,7.0,50.1,49.9,0.2000000000000028
2020,Ohio,OH,4.0,50.4,49.6,0.7999999999999972
2021,Ohio,OH,24.0,50.0,50.0,0.0
2022,Ohio,OH,9.0,50.2,49.8,0.4000000000000057
2023,Ohio,OH,23.0,50.1,49.9,0.2000000000000028
2015,Oklahoma,OK,46.0,49.6,50.4,-0.7999999999999972
2016,Oklahoma,OK,34.0,49.9,50.1,-0.2000000000000028
2017,Oklahoma,OK,24.0,50.1,49.9,0.2000000000000028
2018,Oklahoma,OK,40.0,49.7,50.3,-0.5999999999999943
